namaMK,deskripsiMK
Teknik Multimedia,"Mahasiswa mengetahui beberapa teknik dasar pemrosesan multimedia. Mahasiswa juga mengetahui perkembangan teknologi multimedia dari yang sederhana sampai dengan teknologi termutakhir. Mahasiswa juga mampu replikasi dan membuat algoritma baru terkait teknologi multimedia. Mahasiswa diajarkan beberapa teknologi multimedia dari yang paling dasar sampai dengan teknologi yang terkini. Mahasiswa dapat menjelaskan teori kompresi dan kode gambar/citra digital. kompresi dan kode gambar/citra digital. Mahasiswa dapat menjelaskan standar kompresi gambar/citra digital. standar kompresi gambar/citra digital. Mahasiswa dapat menjelaskan pengukuran kualitas gambar/citra dan video. Pengukuran Kualitas gambar/Citra dan Video. Mahasiswa dapat menjelaskan tentang pengolahan video analog. Pengolahan Video Analog. Mahasiswa dapat menjelaskan tentang pengolahan video digital. Pengolahan Video Digital. Mahasiswa dapat menjelaskan tentang standar dan format video digital. Standar dan Format Video Digital. Mahasiswa dapat menjelaskan tentang teknik pengolahan video digital dan aplikasi. Teknik Pengolahan Video Digital dan Aplikasi; Merancang sebuah sistem kompresi dan kode citra digital, Merancang sebuah alat ukur peningkatan kualitas gambar/citra dan video, Merancang sebuah sistem pengolahan video digital, Merancang sebuah sistem estimasi gerak pada video."
Jaminan Mutu Perangkat Lunak,"Mahasiswa memahami dan mampu menggunakan alat untuk menjamin kualitas suatu perangkat lunak yang dihasilkan dari proses pengujian fungsional. Mahasiswa diajarkan pentingnya memastikan pengujian kualitas fungsional perangkat lunak sebelum instalasi, diajarkan berbagai jenis alat pengujian perangkat lunak, serta langkah-langkah pengujian yang perlu dilakukan untuk menjamin kualitas dari suatu perangkat lunak pada tahap pengembangan. Praktik pengujian perangkat lunak. Mata kuliah jaminan mutu perangkat lunak mempelajari mengenai pentingnya memastikan pengujian kualitas perangkat lunak sebelum instalasi, mempelajari berbagai jenis alat pengujian perangkat lunak, serta langkah-langkah pengujian yang perlu dilakukan untuk menjamin kualitas dari suatu perangkat lunak pada tahap pengembangan. Pengenalan konsep Jaminan Kualitas Perangkat Lunak. Pengertian Jaminan Kualitas Perangkat Lunak. Pembahasan Faktor pengujian kualitas perangkat lunak. Menjelaskan komponen dari Jaminan Kualitas Perangkat Lunak. Komponen kualitas perangkat lunak pra-proyek. Pengembangan & rencana manajemen kualitas perangkat lunak. Komponen pra proyek Siklus hidup proyek perangkat lunak. Komponen Infrastruktur & Manajemen Pengujian fungsional Perangkat Lunak. Jaminan Kualitas Perangkat Lunak pada siklus hidup proyek. Pengujian fungsional perangkat lunak dengan Perbaikan Alat terhadap kualitas perangkat lunak. Infrastruktur kualitas perangkat lunak. Kualitas perangkat. Manajemen kualitas perangkat lunak. Matrik pengukuran kualitas perangkat lunak. Peluang dan Tantangan Jaminan Kualitas Perangkat Lunak."
Business Intelligence,"Mahasiswa mampu menjelaskan konsep dasar Kecerdasan Bisnis dan hubungannya dengan Artificial Intelligence (AI), mampu membangun model yang memanfaatkan Artificial Intelligence dan Penambangan Data untuk kasus bisnis tertentu, serta mampu menjelaskan isu-isu terkini terkait Kecerdasan Bisnis. Menjelaskan hubungan antara Sistem Pendukung Keputusan dan Kecerdasan Bisnis, juga komponennya serta keterkaitan dengan Artificial Intelligence (AI) serta Penambangan Data, Menjelaskan Artificial Intelligence (AI) dan Penambangan Data dasar yang dapat dimanfaatkan untuk Kecerdasan Bisnis, Menjelaskan teknologi gudang data untuk Kecerdasan Bisnis, - Menerapkan metode dan teknik dalam Artificial Intelligence (AI) dan Penambangan Data untuk Kecerdasan Bisnis, Menggunakan perpustakaan (Antarmuka pemrograman aplikasi) yang ada atau alat bantu lainnya, Menjelaskan rancangan penelitian baru dan perkembangan Kecerdasan Bisnis dalam 5 tahun terakhir, Mengulas artikel terkini terkait Kecerdasan Bisnis, Artificial Intelligence dan Penambangan Data."
Cyber Security,"Mata kuliah ini bertujuan untuk membekali mahasiswa dengan fondasi dan konsep keamanan siber. Mata kuliah juga ini bertujuan untuk memberikan siswa aspek dasar dan konseptual keamanan siber. Unit tersebut mencakup lanskap ancaman di dunia maya, langkah-langkah yang tepat ketika pertahanan keamanan gagal, mengelola risiko keamanan, mengidentifikasi jenis keamanan siber berdasarkan perilaku manusia, kriptografi, hash, pengesahan autentik, perangkat lunak berbahaya, forensik digital, dan keamanan jaringan. Mata kuliah ini bertujuan untuk membekali siswa dengan aspek fundamental dan konseptual dari keamanan siber. Unit ini mencakup lanskap ancaman di dunia maya, langkah-langkah yang tepat ketika pertahanan keamanan gagal, mengelola risiko keamanan, mengidentifikasi jenis keamanan siber berdasarkan perilaku manusia, kriptografi, hash, pengesahan autentikasi, perangkat lunak berbahaya, forensik digital, dan keamanan jaringan. Mata kuliah ini bertujuan untuk membekali mahasiswa dengan fondasi dan konsep keamanan siber. Mata kuliah ini mencakup lanskap ancaman di dunia maya, langkah-langkah yang tepat ketika pertahanan gagal, mengelola risiko keamanan, mengidentifikasi jenis-jenis keamanan siber berdasarkan perilaku manusia, kriptografi, hash, pengesahan autentik, perangkat lunak berbahaya, forensik digital, dan keamanan jaringan. Ketepatan mengidentifikasi ancaman lanskap di ranah siber, Mampu menentukan langkah tepat ketika sistem pertahanan gagal bekerja. Mampu memahami perilaku manusia dalam menanggapi sistem keamanan siber. Mampu menghubungkan konsep dasar sistem keamanan dengan berbagai serangan siber. Mampu memahami masalah dan solusi keamanan koneksi infrastruktur siber."
Kapita Selekta Ilmu Komputer,"Pendahuluan tentang Deteksi Rumor, Pengumpulan data dan Pengembangan set data, Pemrosesan Teks dan Model Terkini, Ekstraksi fitur dan pemilihan fitur pada rumor, Model terkini dalam Deteksi Rumor, Arah Penelitian Masa Depan tentang Deteksi Rumor. Mengenalkan mahasiswa pada salah satu pengembangan ilmu pengetahuan terkini dalam bidang ilmu komputer, dengan melihat lebih dalam secara teori, dan riset-risetnya. Mahasiswa memahami apa itu rumor, konsep penyebaran rumor di media sosial dan dampaknya, Pengantar Deteksi rumor di media sosial; Mahasiswa memahami bagaimana cara penambangan data (data mining) dari media sosial untuk dibangun menjadi set data, Pengumpulan data untuk pengembangan set data; Mahasiswa memahami apa saja fitur yang bisa digunakan untuk mendeteksi rumor dan memahami bagaimana cara memilih dan menggunakan fitur tersebut, Ekstraksi fitur dan pemilihan fitur pada deteksi rumor; Mahasiswa memahami konsep dasar pemrosesan teks dan cara penerapannya untuk analisis teks, Pemrosesan Teks dan Model Terkini; Mahasiswa memahami metode-metode terkini pada area riset deteksi rumor, Model terkini dalam Deteksi Rumor;"
Manajemen Proyek,"Mata kuliah Manajemen Proyek Teknologi Informasi berisi pengajaran mengenai Manajemen Proyek secara umum dan bagaimana penerapannya pada Manajemen Proyek Teknologi Informasi. Mampu menjelaskan definisi proyek, manajemen proyek dan peran Manajemen Proyek. Mampu mengidentifikasi berbagai jenis manajemen proyek teknologi informasi. Mampu menjelaskan manajemen sistem dan proses pengembangan proyek perangkat lunak. Mampu mengidentifikasi proses yang terjadi harus dilakukan sebagai manajer proyek, selama proyek teknologi informasi dirancang. Mampu menggunakan salah satu perangkat lunak sebagai alat bantu dalam menjalankan proyek perangkat lunak, hingga penutupan proyek. Mampu menganalisis proses yang dibutuhkan agar proyek dapat berjalan dengan baik. Mampu mengidentifikasi batasan-batasan proyek, agar proyek dapat mencapai tujuan. Mampu mengidentifikasi dan merencanakan suatu proyek perangkat lunak agar dapat berjalan dengan baik sesuai waktu yang telah direncanakan, Mampu mengidentifikasi dan merencanakan biaya proyek perangkat lunak agar dapat berjalan dengan baik sesuai dana yang telah direncanakan. Mampu mengidentifikasi dan merencanakan kualitas yang sesuai dengan keinginan penentu kepentingan, dengan batasan-batasan proyek perangkat lunak. Mampu mengidentifikasi, merencanakan dan memilih tim proyek sesuai dengan kebutuhan proyek perangkat lunak. Mampu mengidentifikasi dan merencanakan serta mengendalikan proses komunikasi selama proyek berlangsung, Mampu memahami risiko selama pengembangan proyek teknologi informasi berlangsung, serta rencana mengatasinya Mampu mengidentifikasi cara memperoleh barang dan servis yang dibutuhkan serta dukungan lainnya agar proyek dapat berjalan dengan baik dan lancar. Mampu mengkomunikasikan rencana proyek perangkat lunak."
Natural Language Processing,"Pengenalan Pengolahan Bahasa Alami, Pengolahan/pemrosesan data teks, Morfologi Finite state, Jarak Edit Minimal, Pemodelan Bahasa, Klasifikasi teks menggunakan Naive Bayes, Analisis Sentimen, Penandaan bagian dari ucapan, Tata Bahasa Bebas Konteks. Mata kuliah Pengolahan Bahasa Alami memberikan pemahaman dan penguasaan kepada mahasiswa mengenai pengolahan dalam bahasa manusia. Mampu menjelaskan teknologi Pemrosesan Bahasa Alami (Natural Language Processing) secara umum, menjelaskan teknologi terkini dari Pengolahan Bahasa Alami, Mampu menjelaskan teknologi pengolahan/pemrosesan teks, Mampu menjelaskan konsep dasar morfologi finite state, Mampu menjelaskan teknologi Jarak Edit Minimal, Mampu menjelaskan teknologi Pemodelan Bahasa, Mampu menjelaskan teknologi Klasifikasi Teks menggunakan Naive Bayes, Mampu menjelaskan teknologi Analisis Sentimen, Mampu menjelaskan konsep dasar Penandaan bagian dari ucapan, Mahasiswa mampu menjelaskan konsep dasar dan menggunakan Tata Bahasa Bebas Konteks, Membahas penelitian atau kerja mutakhir terkait NLP (Natural Language Processing) dan Linguistik Komputasi. Menjelaskan konsep dasar Pengolahan Bahasa Alami (NLP), terutama dalam pengolahan teks, konsep pemodelan bahasa, dan mampu membangun model sederhana pengenalan teks dan analisis sentimen, Membangun model sederhana untuk merepresentasikan pengetahuan linguistik pada tingkat representasi morfologi, sintaksis serta semantik, Menjelaskan penelitian riset yang sedang terjadi pada komunitas peneliti Pengolahan bahasa alami serta linguistik komputasi."
Pengamanan Data Multimedia,"Pengamanan Data Multimedia membahas mengenai proses Pengamanan konten multimedia dan menggunakan konten multimedia untuk media penyimpanan pesan atau sebagai hak kepemilikan, dengan teknik kriptografi, steganografi (penyembunyian data), penanda air digital, dan tanda tangan digital. Mahasiswa dapat mengenal Multimedia, dan aspek-aspek keamanan multimedia, Pengenalan multimedia dan aspek-aspek keamanan komputer; Mahasiswa dapat memahami dasar keamanan multimedia, Dasar Keamanan Multimedia: Kriptografi, Steganografi (penyembunyian data), penanda air digital; Mahasiswa dapat menerapkan kriptografi dalam berbagai media, Algoritma kriptografi Klasik dan Modern dan penerapannya dalam multimedia; Mahasiswa dapat menerapkan teknik steganografi (penyembunyian data), pada Berbagai media (Teks, Gambar, Audio), Penerapan Steganografi (penyembunyian data) pada berbagai media (Teks, Gambar, Audio); Mampu melakukan perancangan sistem keamanan data multimedia (teks, gambar, audio) dengan ide kasus atau pengembangan kasus dari meninjau artikel-artikel yang ditinjau sebelumnya, Dapat mengamankan data gambar dengan teknik penanda air, penanda air digital gambar; Dapat menyisipkan penanda air digital dengan teknik ranah domain spasial, Autentikasi Citra Berbasis Tanda Tangan Digital. Autentikasi Citra Berbasis Tanda Tangan Digital, pada ranah domain spasial; Dapat menyisipkan penanda air digital dalam gambar pada ranah frekuensi dengan Penanda Air Spektrum Tersebar, Autentikasi Citra Berbasis Tanda Tangan Digital, pada ranah frekuensi; Dapat mengimplementasikan dengan membuat aplikasi dari salah satu algoritma pengamanan data pada data teks atau gambar atau audio, mempresentasikan dan membuat laporannya, Implementasi Algoritma pengamanan Data;"
Pengujian Perangkat Lunak,"Fundamental Pengujian Perangkat Lunak. Pengenalan Analisis dan Pengujian Perangkat Lunak. Mempelajari metode untuk meningkatkan kualitas perangkat lunak seperti keamanan dan kinerja. Menjadi pengembang / penguji perangkat lunak yang lebih baik. Memahami langkah yang perlu dilakukan dalam merancang perangkat lunak berkualitas. Menjelaskan metode dalam merancang aplikasi yang berkualitas. Membangun alat untuk pengujian perangkat lunak. Pengujian Dalam Siklus Hidup Pengembangan Perangkat Lunak. Fase siklus hidup pengujian, analisis kebutuhan, pengujian persiapan, pengujian pengembangan, pengujian lingkungan, pengujian eksekusi. Memahami teknik pengujian perangkat lunak. Memahami Permasalahan Dalam Metode Siklus Hidup Pengembangan Perangkat Lunak. Memahami Matrik Terpenuhi Persyaratan proyek di seluruh siklus pengembangan. Memahami konsep siklus hidup pengujian perangkat lunak. Memahami Teknik Estimasi Pengujian Perangkat Lunak Terbaik. Memahami skill yang dibutuhkan oleh penguji kualitas. Memahami jenis-jenis pengujian. Memahami pengujian manual. Memahami pengujian unit, pengujian integrasi dan sistem pengujian. Dapat melaporkan eror yang terjadi pada pengujian. Memahami jenis-jenis eror, eror fungsional, eror visual, eror logika, eror alur kerja. Memahami tingkat keparahan eror dan dampaknya. Memahami tingkat prioritas eror."
Software Process,"Proses Rekayasa Perangkat Lunak, Definisi Proses Perangkat Lunak, Siklus Hidup Perangkat Lunak, Peningkatan Kualitas Proses Perangkat Lunak, Pengukuran Perangkat Lunak, Alat Bantu Proses Rekayasa Perangkat Lunak. Definisi Proses Perangkat Lunak, Manajemen Proses Perangkat Lunak, Infrastruktur Proses Perangkat Lunak. Siklus Hidup Perangkat Lunak, Kategori Proses Perangkat Lunak, Model Siklus Hidup Perangkat Lunak, Adaptasi Proses Perangkat Lunak. Pengukuran dan Peningkatan Proses Perangkat Lunak, Model Pengukuran Proses Perangkat Lunak, Metode Pengukuran Proses Perangkat Lunak, Model Peningkatan Proses Perangkat Lunak, Metode Peningkatan Proses Perangkat Lunak, Penilaian Proses Perangkat Lunak Bertahap. Pengukuran Perangkat Lunak, Pengukuran Proses dan Produk Perangkat Lunak, Kualitas Hasil Pengukuran, Model Informasi Perangkat Lunak, Teknik Pengukuran Proses Perangkat Lunak. Mendefinisikan dan mengimplementasikan alat bantu pendukung proses perangkat lunak, manajemen proses perangkat lunak individual dan model siklus hidup perangkat lunak. Alat bantu edit seperti diagram alur data, diagram status, dan diagram aktivitas. Prinsip dan Konsep kualitas perangkat lunak. Evolusi Perangkat Lunak, menjaga Perangkat Lunak, Kualitas Perangkat Lunak."
Etika Profesi,"Mahasiswa mampu menjelaskan pengertian etik profesi, penggunaan etik, profesi dan karier, etik komputer (kode etik), profesi di bidang teknologi informasi, kejahatan kerja/karier dalam teknologi informasi, etika bisnis, peraturan kerja/karier profesi. Mahasiswa diajarkan konsep dasar etika profesi, penggunaan etik, profesi, etik komputer (kode etik) sehingga dapat menjelaskan berbagai etik terkait penggunaan dan pemanfaatan teknologi informasi dan mahasiswa juga mampu menjelaskan berbagai profesi kerja/karier di bidang Teknologi dan berbagai kode etik dari profesi tersebut. Mahasiswa diajarkan jenis-jenis profesi di bidang teknologi informasi, kejahatan dalam teknologi informasi (kejahatan siber), etik bisnis, peraturan dan regulasi, sehingga mahasiswa dapat menjelaskan mengenai Etik bisnis dalam penggunaan internet sebagai sarana untuk menjalankan bisnis dan mahasiswa juga mampu menjelaskan mengenai undang-undang hak cipta dan perlindungan Program Komputer, perangkat lunak baik yang gratis maupun yang berlisensi. Mahasiswa mampu menjelaskan pengertian etika profesi, penggunaan etika, profesi dan profesional, etika komputer (kode etik, sejarah dan perkembangan), profesi di bidang teknologi informasi, modus kejahatan dalam teknologi informasi (kejahatan siber), etika siber, etika bisnis, peraturan dan regulasi Mahasiswa diajarkan konsep dasar etika profesi, penggunaan etika, profesi dan profesional, etika komputer (kode etik, sejarah dan perkembangan) sehingga mahasiswa dapat menjelaskan berbagai etika terkait penggunaan dan pemanfaatan teknologi informasi dan mahasiswa juga mampu menjelaskan berbagai profesi di bidang teknologi dan berbagai kode etik dari profesi tersebut. Mahasiswa diajarkan jenis-jenis profesi di bidang teknologi informasi, modus kejahatan dalam teknologi informasi (kejahatan siber), etika siber, etika bisnis, peraturan dan regulasi, sehingga mahasiswa dapat menjelaskan mengenai Etika bisnis serta etika siber dalam penggunaan internet sebagai sarana untuk menjalankan bisnis dan mahasiswa juga mampu menjelaskan mengenai undang-undang hak cipta dan perlindungan Program Komputer, perangkat lunak baik yang gratis maupun yang berlisensi. Mampu menjelaskan pengertian etika profesi, penggunaan etika, profesi dan profesional, etika komputer (kode etik, sejarah dan perkembangan), Pendahuluan Tinjauan Umum Etika, Sejarah dan Perkembangan Pekerjaan, Profesi dan Profesional; Mampu menjelaskan berbagai profesi kerja/karier di bidang IT dan kode etik dari profesi kerja/karier, Profesi Pekerjaan/karier di bidang Teknologi Informasi, Standar profesi, Meningkatkan Profesional Pekerja Teknologi Informasi; Mampu menjelaskan profesi pekerjaan/karier di bidang teknologi informasi, etika siber, etika bisnis, peraturan dan regulasi profesi pekerjaan/karier. Mampu menjelaskan mengenai Etika bisnis, Peran Organisasi dan Kode Etik dalam sebuah profesi Etika Siber: Etika di dunia maya, etika bagi pekerja teknologi informasi, Etika bisnis dalam teknologi informasi;"
Kewirausahaan,"Mata kuliah ini dirancang untuk menumbuhkan dan mengembangkan jiwa kewirausahaan (entrepreneurial spirit) sekaligus mempersiapkan mahasiswa untuk menghadapi peluang dan tantangan dari perubahan lingkungan. Mata kuliah ini juga memberi dasar untuk meningkatkan kemampuan berfikir secara cerdas dalam menciptakan value (to create value) dalam membangun sebuah bisnis baru (to build new business / pre start-up), serta mengaplikasikannya dalam bentuk business model. Pengantar Mata kuliah Kewirausahaan, Karakteristik Wirausaha, Entreprenueurial Skill, Kelayakan Usaha, Business Model Canvas, Evaluasi dan Verifikasi Business Model Canvas. Mahasiswa mempunyai pengetahuan dasar dalam melihat kesempatan kerja di masa depan dengan prinsip kewirausahaan, Mahasiswa dapat mengembangkan kemampuan pribadi, dan mengembangkan ide untuk menciptakan usaha, Mampu menyusun perencanaan usaha dan melaksanakan simulasi usaha dengan pendekatan manajemen bisnis modern."
Kecerdasan Komputasional,"Mahasiswa mampu menjelaskan algoritma-algoritma evolusioner dan Kecerdasan komputasi Swarm, Mahasiswa mampu menjelaskan algoritma-algoritma logika fuzzy dan jaringan saraf tiruan, Mahasiswa mampu menggunakan algoritma-algoritma evolusioner atau Kecerdasan Komputasi Swarm atau logika fuzzy dan jaringan saraf tiruan untuk memecahkan masalah, serta menganalisis kinerja hasil penerapan algoritma-algoritma tersebut dalam menyelesaikan permasalahan; Jaringan Saraf Tiruan, Komputasi Evolusioner, Kecerdasan Komputasi Swarm Komputasi, dan Sistem Kekebalan Buatan, serta Sistem logika fuzzy dan jaringan saraf tiruan; Pada mata kuliah ini mahasiswa belajar tentang metode learning dan optimasi, metode klasifikasi, metode optimasi, logika samar serta kombinasi metode-metode tersebut. Melalui pembahasan teori di kelas serta penerapan studi kasus dalam bentuk tugas proyek, Mahasiswa akan memiliki pengalaman untuk membuat sistem cerdas dengan pemelajaran yang terawasi dan tidak terawasi menggunakan Jaringan Saraf Tiruan (Algoritma komputasi, Deep Learning), membuat sistem cerdas menggunakan logika samar, membuat sistem cerdas berdasarkan metode optimasi (Algoritma Komputasi Genetik, Optimasi Swarm Partikel Buatan, Sistem Kekebalan Buatan), serta membuat sistem cerdas yang mengombinasikan metode-metode tersebut. Mahasiswa mampu menjelaskan dan menerapkan Algoritma Jaringan Saraf Tiruan: terawasi, tidak terawasi, dan hibrid, Mahasiswa mampu menjelaskan dan menerapkan Algoritma Komputasi Genetik, Optimasi Swarm Partikel, Mahasiswa mampu menjelaskan dan menerapkan algoritma Buatan, Mahasiswa mampu menjelaskan dan menerapkan algoritma Sistem Kekebalan Buatan, Mahasiswa mampu menjelaskan dan menerapkan logika samar dalam penyelesaian kasus, Mahasiswa mampu menganalisis permasalahan dan menentukan algoritma yang sesuai, menyelesaikan kasus dan mempresentasikannya, Kecerdasan Komputasi: Komputasi Evolusioner, Logika Samar, Jaringan Saraf, dan Teknik Mesin Pendukung Vektor."
Computer Vision,"Mata kuliah Visi Komputer mempelajari teori-teori dasar dari visi komputer, cara penyusunan algoritma visi komputer, dasar matematika visi komputer, dan cara penggunaan algoritma visi komputer untuk aplikasi sederhana. Mata kuliah Visi Komputer mempelajari teori-teori dasar dari visi komputer, cara penyusunan algoritma visi komputer, dasar matematika visi komputer, dan cara penggunaan algoritma visi komputer untuk aplikasi sederhana. Mahasiswa dapat mengetahui tentang perkembangan teknologi visi komputer, Teknologi Visi Komputer; Mahasiswa mendapatkan gambaran terkait metode pembelajaran studi kasus pada mata kuliah Visi Komputer; Mahasiswa mendapatkan gambaran terkait penelitian pemulihan citra/gambar dari halftoning dan kompresi gambar menggunakan Jaringan Saraf Konvolusi, Jaringan Saraf Konvolusi Mendalam untuk pemulihan citra/gambar dari Halftoning dan Kompresi Gambar; Mahasiswa mendapatkan gambaran terkait penelitian pemulihan citra/gambar dari halftoning dan kompresi gambar menggunakan Jaringan adversarial generatif, Jaringan adversarial generatif untuk pemulihan citra/gambar dari Halftoning dan Kompresi Gambar; Mahasiswa mampu menerapkan konsep Jaringan Saraf Konvolusi pada kasus peningkatan resolusi gambar, Pembahasan Peningkatan Resolusi Gambar Menggunakan Jaringan Saraf Konvolusi; Mahasiswa mampu menerapkan teknik Pemelajaran Residual Mendalam pada kasus pengenalan citra gambar, Pembahasan Pemelajaran Residual Mendalam untuk Pengenalan Citra gambar; Mahasiswa mampu memahami teori dan konsep dari Jaringan adversarial generatif, Pembahasan Jaringan adversarial generatif; Mahasiswa mampu memahami teori dan konsep dari gaya transfer pada Jaringan adversarial generatif; Mahasiswa mampu memahami teori dan konsep dari Jaringan Saraf Konvolusi Berbasis Gelombang Mendalam, Pembahasan Pendekatan Berbasis Gelombang Mendalam Menggunakan Jaringan Saraf Konvolusi; Mahasiswa mampu membuat aplikasi berbasis Jaringan Saraf Konvolusi dan Jaringan adversarial generatif, Mahasiswa mampu melaporkan hasil eksperimen berbasis Jaringan Saraf Konvolusi dan Jaringan adversarial generatif, Mahasiswa mampu menuliskan hasil penelitian berbasis Jaringan Saraf Konvolusi dan Jaringan adversarial generatif;"
Semantic Web,"Mahasiswa memahami konsep fundamental dari Semantik, Mahasiswa dapat memanfaatkan teknologi Web Semantik dalam proyek, Mahasiswa dapat memulai penelitian dengan pemanfaatan Web Semantik; Meta data, Deskripsi Sumber dan serial, Ontologi/Bahasa Ontologi Web, Rekayasa Ontologi, Pengenalan target otomatis dalam Manajemen Pengetahuan, Logika Deskripsi, Mahasiswa dapat memanfaatkan teknologi Web Semantik dalam proyek. Mahasiswa diajarkan tentang data semi-terstruktur, konsep penandaan pada data semi-terstruktur, dan representasi pengetahuan agar mahasiswa dapat merepresentasikan pengetahuan menggunakan Deskripsi Sumber, Skema Deskripsi Sumber, dan Bahasa Ontologi Web, serta mampu mengelola penyimpanan; Mahasiswa mengetahui konsep meta data dalam Web Semantik, Meta data; Mahasiswa mengetahui konsep data model dalam Web Semantik, Deskripsi Sumber dan serial, Deskripsi Sumber; Mahasiswa mengetahui konsep Ontologi dan Bahasa Ontologi Web, Ontologi, Bahasa Ontologi Web; Mahasiswa memahami konsep Pengenalan target otomatis dalam Manajemen Pengetahuan, Basis Pengetahuan, dan Pengenalan target otomatis; Mahasiswa memahami konsep Logika Deskripsi dan Protokol Sederhana dan Bahasa Kueri Deskripsi Sumber, Logika Deskripsi, (Protokol Sederhana dan Bahasa Kueri Deskripsi Sumber), Basis Data pedia; Mahasiswa dapat mengetahui pemanfaatan teknologi Web Semantik dan implementasinya dalam proyek, teknologi yang sedang berkembang menggunakan Web Semantik, Jena Apache."
